Combined localizations
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-ByteblazarsNoBlurryTextures\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-Material Modifier\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.idea\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.idea\.idea.0-SCore.dir\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.idea\.idea.0-SCore.dir\.idea\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.vs\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Caves\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Caves\Stamps\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Caves\StampsV2\localization.txt "
Key,English,French,german,russian



ZombieINC_MD_T6_JeepWave1Start_Message,buffs,,,,"| [FF6600]Game:[-] It Started to get some signal, I need to stop"
ZombieINC_MD_T6_JeepWave1Half_Message,buffs,,,,"| [FF6600]Game:[-] Half Way There..."
ZombieINC_MD_T6_JeepWave1Finished_Message,buffs,,,,"| [FF6600]Game:[-] Done, Let's get back to work"

ZombieINC_MD_T6_JeepWave2Start_Message,buffs,,,,"| [FF6600]Game:[-] It Started to get some singnal again, I need to stop"
ZombieINC_MD_T6_JeepWave2Half_Message,buffs,,,,"| [FF6600]Game:[-] Half Way There..."
ZombieINC_MD_T6_JeepWave2Finished_Message,buffs,,,,"| [FF6600]Game:[-] Done, Let's get back to work"

ZombieINC_MD_T6_JeepWave3Start_Message,buffs,,,,"| [FF6600]Game:[-] Let's begin!"
ZombieINC_MD_T6_JeepWave3Finished_Message,buffs,,,,"| [FF6600]Game:[-] Finally..."

ZombieINC_MD_T6_JeepWave4_Message,buffs,,,,"| [FF6600]Game:[-] Oh Shit! The Jeep has stoped, I think it Overheated. It will take a while to cool it..."
ZombieINC_MD_T6_JeepWave4Half_Message,buffs,,,,"| [FF6600]Game:[-] The Jeep started to cooling down, just a little more..."
ZombieINC_MD_T6_JeepWave4_FinishWave_Message,buffs,,,,"| [FF6600]Game:[-] Now it's time to get out of here ! The Jeep has cooled down !"

ZombieINC_MD_BeltTooltip_Message3_T6,gameevents,,,X,"Vehicle Delivered"
ZombieINC_MD_ChatMessage_Message3_T6,gameevents,,,X,"| [FF6600]Game:[-] My job is done. All Messages were intercepted !"

ZombieINC_MD_BeltTooltip_FailQuest,gameevents,,,X,"You Got too Far"
ZombieINC_MD_ChatMessage_FailQuest,gameevents,,,X,"| [FF6600]Game:[-] Mission failed, I've Got too far from the vehicle"

ZombieINC_MD_BeltTooltip_FailQuestTimer,gameevents,,,X,"You Were Too Late"
ZombieINC_MD_ChatMessage_FailQuestTimer,gameevents,,,X,"| [FF6600]Game:[-] Mission failed, Your timer runs out."



ZombieINC_challenge_tier3_MobileDefenseReward_name,Quests,Quest Info,,x,Tier 3 Mobile Defense (Reward)
ZombieINC_challenge_tier4_MobileDefenseReward_name,Quests,Quest Info,,x,Tier 4 Mobile Defense (Reward)
ZombieINC_challenge_tier5_MobileDefenseReward_name,Quests,Quest Info,,x,Tier 5 Mobile Defense (Reward)
ZombieINC_challenge_tier6_MobileDefenseReward_name,Quests,Quest Info,,x,Tier 6 Mobile Defense (Reward) 






ZombieINC_challenge_tier3_MobileDefense_name,Quests,Quest Info,,x,Tier 3 Mobile Defense
ZombieINC_challenge_tier3_MobileDefense_subtitle,Quests,Quest Info,,x,Spying Communications
ZombieINC_challenge_tier3_MobileDefense_description,Quests,Quest Info,,x,"The mission is simple: we left an antenna device just [DECEA3]outside the trader's area[-]. [DECEA3]Approach it[-] and equip the device. Once it's on, head to the designated point. Because of the noise and frequency of the antenna, some zombies, especially ferals, might come your way. [DECEA3]Don't let them hit you too much[-], or the antenna might break. While you're out there, we'll be intercepting enemy faction messages, trying to figure out their next move… and who knows, maybe they'll even reveal the location of something buried. [DECEA3]PAY ATTENTION: [-]Don't forget to bring a [DECEA3]shovel[-], there might be something worth digging up at the communication point, bring it back."
ZombieINC_challenge_tier3_MobileDefense_offer,Quests,Quest Info,,x,"The mission is simple: we left an antenna device just [DECEA3]outside the trader's area[-]. [DECEA3]Approach it[-] and equip the device. Once it's on, head to the designated point [DECEA3]{treasure.distance} {treasure.direction}[-]. Because of the noise and frequency of the antenna, some zombies, especially ferals, might come your way. [DECEA3]Don't let them hit you too much[-], or the antenna might break. While you're out there, we'll be intercepting enemy faction messages, trying to figure out their next move… and who knows, maybe they'll even reveal the location of something buried. [DECEA3]PAY ATTENTION: [-]Don't forget to bring a [DECEA3]shovel[-], there might be something worth digging up at the communication point, bring it back. "
ZombieINC_challenge_tier3_MobileDefense_completion,Quests,Quest Info,,x,"Here is your reward !"
ZombieINC_challenge_tier3_MobileDefense_response,Quests,Quest Info,,x,Mobile Defense ([DECEA3]{treasure.distance} {treasure.direction}[-])
ZombieINC_challenge_tier3_MobileDefense_statement,Quests,Quest Info,,x,"You think you can handle ?"

ZombieINC_challenge_tier4_MobileDefense_name,Quests,Quest Info,,x,Tier 4 Mobile Defense
ZombieINC_challenge_tier4_MobileDefense_subtitle,Quests,Quest Info,,x,Intel Leakage 
ZombieINC_challenge_tier4_MobileDefense_description,Quests,Quest Info,,x,"The mission is simple: we left an antenna device just [DECEA3]outside the trader's area[-]. [DECEA3]Approach it[-] and equip the device. Once it's on, head to the designated point. Because of the noise and frequency of the antenna, some zombies, especially ferals, might come your way. [DECEA3]Don't let them hit you too much[-], or the antenna might break. While you're out there, we'll be intercepting enemy faction messages, trying to figure out their next move… and who knows, maybe they'll even reveal the location of something buried. [DECEA3]PAY ATTENTION: [-]Don't forget to bring a [DECEA3]shovel[-], there might be something worth digging up at the communication point, bring it back."
ZombieINC_challenge_tier4_MobileDefense_offer,Quests,Quest Info,,x,"The mission is simple: we left an antenna device just [DECEA3]outside the trader's area[-]. [DECEA3]Approach it[-] and equip the device. Once it's on, head to the designated point [DECEA3]{treasure.distance} {treasure.direction}[-]. Because of the noise and frequency of the antenna, some zombies, especially ferals, might come your way. [DECEA3]Don't let them hit you too much[-], or the antenna might break. While you're out there, we'll be intercepting enemy faction messages, trying to figure out their next move… and who knows, maybe they'll even reveal the location of something buried. [DECEA3]PAY ATTENTION: [-]Don't forget to bring a [DECEA3]shovel[-], there might be something worth digging up at the communication point, bring it back."
ZombieINC_challenge_tier4_MobileDefense_completion,Quests,Quest Info,,x,"Here is your reward !"
ZombieINC_challenge_tier4_MobileDefense_response,Quests,Quest Info,,x,Mobile Defense ([DECEA3]{treasure.distance} {treasure.direction}[-])
ZombieINC_challenge_tier4_MobileDefense_statement,Quests,Quest Info,,x,"You think you can handle ?"

ZombieINC_challenge_tier5_MobileDefense_name,Quests,Quest Info,,x,Tier 5 Mobile Defense
ZombieINC_challenge_tier5_MobileDefense_subtitle,Quests,Quest Info,,x,Weak Point
ZombieINC_challenge_tier5_MobileDefense_description,Quests,Quest Info,,x,"we need you to intercept some communication messages from another faction, you will have a [DECEA3]time limit[-] before they discover us. All you have to do is drive along this route([DECEA3]{treasure.distance} {treasure.direction}[-]). The noise from the generator might attract a few zombies, so be ready. And [DECEA3]PAY ATTENTION: [-]Don't forget to bring a [DECEA3]shovel[-], there might be something worth digging up at the communication points, bring it back."
ZombieINC_challenge_tier5_MobileDefense_offer,Quests,Quest Info,,x,"We're looking for a fast driver who knows how to handle themselves. Here's the deal: we need you to intercept some communication messages from another faction, you will have a [DECEA3]time limit[-] before they discover us. All you have to do is drive along this route([DECEA3]{treasure.distance} {treasure.direction}[-]). The noise from the generator might attract a few zombies, so be ready. [DECEA3]PAY ATTENTION: [-]Don't forget to bring a [DECEA3]shovel[-], there might be something worth digging up at the communication points, bring it back."
ZombieINC_challenge_tier5_MobileDefense_completion,Quests,Quest Info,,x,"Here is your reward !"
ZombieINC_challenge_tier5_MobileDefense_response,Quests,Quest Info,,x,Mobile Defense ([DECEA3]{treasure.distance} {treasure.direction}[-])
ZombieINC_challenge_tier5_MobileDefense_statement,Quests,Quest Info,,x,"Join us for this job."

ZombieINC_challenge_tier6_MobileDefense_name,Quests,Quest Info,,x,Tier 6 Mobile Defense
ZombieINC_challenge_tier6_MobileDefense_subtitle,Quests,Quest Info,,x,Like Edward Snowden
ZombieINC_challenge_tier6_MobileDefense_description,Quests,Quest Info,,x,"we need you to intercept some communication messages from another faction, you will have a [DECEA3]time limit[-] before they discover us. All you have to do is drive along this route([DECEA3]{treasure.distance} {treasure.direction}[-]). The noise from the generator might attract a few zombies, so be ready. And [DECEA3]PAY ATTENTION: [-]Don't forget to bring a [DECEA3]shovel[-], there might be something worth digging up at the communication points, bring it back."
ZombieINC_challenge_tier6_MobileDefense_offer,Quests,Quest Info,,x,"We're looking for a fast driver who knows how to handle themselves. Here's the deal: we need you to intercept some communication messages from another faction, you will have a [DECEA3]time limit[-] before they discover us. All you have to do is drive along this route([DECEA3]{treasure.distance} {treasure.direction}[-]). The noise from the generator might attract a few zombies, so be ready. [DECEA3]PAY ATTENTION: [-]Don't forget to bring a [DECEA3]shovel[-], there might be something worth digging up at the communication points, bring it back."
ZombieINC_challenge_tier6_MobileDefense_completion,Quests,Quest Info,,x,"Here is your reward !"
ZombieINC_challenge_tier6_MobileDefense_response,Quests,Quest Info,,x,Mobile Defense ([DECEA3]{treasure.distance} {treasure.direction}[-])
ZombieINC_challenge_tier6_MobileDefense_statement,Quests,Quest Info,,x,"We're hiring someone qualified for this job." "C:\7D2D\Custom\5th_Day_Reloaded\Mods\3 - Zombie Inc. Apocalyptic Quests Mobile Defense\Config\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\3 - Zombie Inc. Apocalyptic Quests Nest Demolition\localization.txt "
Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

ZombieINC_ND_Bomb,entityclasses,Entity,,x,"Bomb"
ZombieINC_ND_Bomb_NPC,entityclasses,Entity,,x,"Bomb"
ZombieINC_ND_Bomb_NPC_T5,entityclasses,Entity,,x,"Bomb"
ZombieINC_ND_Bomb_NPC_T6,entityclasses,Entity,,x,"Bomb"

ZombieINC_Objective_ND,entityclasses,Entity,,x,"Objective"
ZombieINC_vehicleMinibikeBomber,entityclasses,Entity,,x,"Quest's Vehicle"
ZombieINC_vehicle4x4TruckBomber,entityclasses,Entity,,x,"Quest's Vehicle"

ZombieINC_ND_PICKBOMB,Quest,Dialogs,,,"Pick Up the Bomb"

ZombieINC_ND_PlayerAttachBombOnBackPrefab_Name,buffs,Buff,,x,"Carrying a bomb"
ZombieINC_ND_PlayerAttachBombOnBackPrefab_Desc,buffs,Buff,,x,"You are carrying the bomb, get close to the spot to dispatch it."
ZombieINC_ND_PlayerAttachBombOnBackPrefab_Tooltip,buffs,Buff,,x,"You are carrying the bomb"

ZombieINC_ND_WhatAreDoing_Message_T1,buffs,Buff,,x,"| [FF6600]GAME:[-] What Are Doing?"
ZombieINC_ND_WhatAreDoing_Message_T2,buffs,Buff,,x,"| [FF6600]GAME:[-] What Are Doing?"
ZombieINC_ND_WhatAreDoing_Message_T3,buffs,Buff,,x,"| [FF6600]GAME:[-] What Are Doing?"
ZombieINC_ND_WhatAreDoing_Message_T4,buffs,Buff,,x,"| [FF6600]GAME:[-] What Are Doing?"
ZombieINC_ND_WhatAreDoing_Message_T5,buffs,Buff,,x,"| [FF6600]GAME:[-] What Are Doing?"
ZombieINC_ND_WhatAreDoing_Message_T6,buffs,Buff,,x,"| [FF6600]GAME:[-] What Are Doing?"

ZombieINC_ND_CountDisplay_T1_Name,buffs,Buff,,x,"Objective Counter"
ZombieINC_ND_CountDisplay_T2_Name,buffs,Buff,,x,"Objective Counter"
ZombieINC_ND_CountDisplay_T3_Name,buffs,Buff,,x,"Objective Counter"
ZombieINC_ND_CountDisplay_T4_Name,buffs,Buff,,x,"Objective Counter"
ZombieINC_ND_CountDisplay_T5_Name,buffs,Buff,,x,"Objective Counter"
ZombieINC_ND_CountDisplay_T6_Name,buffs,Buff,,x,"Objective Counter"
ZombieINC_ND_CountDisplay_T1_Description,buffs,Buff,,x,"You need to destroy 2 designated spots to complete the mission"
ZombieINC_ND_CountDisplay_T2_Description,buffs,Buff,,x,"You need to destroy 2 designated spots to complete the mission"
ZombieINC_ND_CountDisplay_T3_Description,buffs,Buff,,x,"You need to destroy 3 designated spots to complete the mission"
ZombieINC_ND_CountDisplay_T4_Description,buffs,Buff,,x,"You need to destroy 4 designated spots to complete the mission"
ZombieINC_ND_CountDisplay_T5_Description,buffs,Buff,,x,"You need to destroy 1 designated spot to complete the mission"
ZombieINC_ND_CountDisplay_T6_Description,buffs,Buff,,x,"You need to destroy 2 designated spots to complete the mission"

ZombieINC_ND_FailQuestCheating_ChatMessage,gameevents,,,X,"| [FF6600]GAME:[-] Mission failed, What do you think you were doing ?"
ZombieINC_ND_FailQuestCheating_BeltTooltip,gameevents,,,X,"Mission failed"

ZombieINC_ND_FailQuest_ChatMessage,gameevents,,,X,"| [FF6600]GAME:[-] Mission failed, You forgot to bring the explosives in the vehicle..."
ZombieINC_ND_FailQuest_BeltTooltip,gameevents,,,X,"Mission failed"

ZombieINC_ND_RallyPointActivatedMessage,gameevents,,,X,"| [FF6600]Player's Mind:[-] Location Reached, Now I need to pick up the Timed Charge inside the vehicle"
ZombieINC_ND_RallyPointActivatedBeltTooltip,gameevents,,,X,"Pick Up The Timed Charge"

ZombieINC_ND_FindGoodSpotMessage,gameevents,,,X,"| [FF6600]Player's Mind:[-] Great ! Let's find some good spot to plant this Timed Charge, I will need to walk around to see if I find something."


ZombieINC_ND_IdealLocationMessage,gameevents,,,X,"| [FF6600]Player's Mind:[-] Seems like this is a ideal location to plant the Timed Charge"
ZombieINC_ND_IdealLocationBeltTooltip,gameevents,,,X,"Ideal Location Reached"

ZombieINC_ND_ReturnMiniBikeBeltTooltip,gameevents,,,X,"Return The Vehicle to the Trader"
ZombieINC_ND_ReturnMiniBikeMessage,gameevents,,,X,"| [FF6600]Player's Mind:[-] Now I Just need to bring back this minibike to the trader"

ZombieINC_ND_ChatMessage_VehicleReturned,gameevents,,,X,"| [FF6600]GAME:[-] Vehicle Returned, the mission is done!"
ZombieINC_ND_BeltTooltip_VehicleReturned,gameevents,,,X,"Vehicle Returned"

ZombieINC_vehicle4x4TruckBomberPlaceable,items,item,,x,"Quest's Vehicle"

ZombieINC_thrownTimedCharge_Small_ND,items,item,,x,"Quest's Small Timed Charge"
ZombieINC_thrownTimedCharge_Medium_ND,items,item,,x,"Quest's Medium Timed Charge"
ZombieINC_thrownTimedCharge_Large_ND,items,item,,x,"Quest's Large Timed Charge"
ZombieINC_thrownTimedCharge_Small_ND_Desc,items,item,,x,"This Timed Charge can only be activated while in range of the Ideal Location to be planted, just about 2m"
ZombieINC_thrownTimedCharge_Medium_ND_Desc,items,item,,x,"This Timed Charge can only be activated while in range of the Ideal Location to be planted, just about 2m"
ZombieINC_thrownTimedCharge_Large_ND_Desc,items,item,,x,"This Timed Charge can only be activated while in range of the Ideal Location to be planted, just about 2m"

ZombieINC_ND_T1_QuestObjective,Quest,Quest Info,,,"Destroy All 2 Spots Inside the Building"
ZombieINC_ND_T2_QuestObjective,Quest,Quest Info,,,"Destroy All 2 Spots Inside the Building"
ZombieINC_ND_T3_QuestObjective,Quest,Quest Info,,,"Destroy All 3 Spots Inside the Building"
ZombieINC_ND_T4_QuestObjective,Quest,Quest Info,,,"Destroy All 4 Spots Inside the Building"
ZombieINC_ND_T5_QuestObjective,Quest,Quest Info,,,"Destroy 1 Spot Inside the Building"
ZombieINC_ND_T6_QuestObjective,Quest,Quest Info,,,"Destroy All 2 Spots Inside the Building"

ZombieINC_challenge_tier1_NestDemolitionReward_name,Quests,Quest Info,,x,Tier 1 Nest Demolition (Reward)
ZombieINC_challenge_tier2_NestDemolitionReward_name,Quests,Quest Info,,x,Tier 2 Nest Demolition (Reward)
ZombieINC_challenge_tier3_NestDemolitionReward_name,Quests,Quest Info,,x,Tier 3 Nest Demolition (Reward)
ZombieINC_challenge_tier4_NestDemolitionReward_name,Quests,Quest Info,,x,Tier 4 Nest Demolition (Reward)
ZombieINC_challenge_tier5_NestDemolitionReward_name,Quests,Quest Info,,x,Tier 5 Nest Demolition (Reward)
ZombieINC_challenge_tier6_NestDemolitionReward_name,Quests,Quest Info,,x,Tier 6 Nest Demolition (Reward) 


ZombieINC_challenge_tier1_NestDemolition_name,Quests,Quest Info,,x,Tier 1 Nest Demolition
ZombieINC_challenge_tier1_NestDemolition_subtitle,Quests,Quest Info,,x,Cleaning The Mess
ZombieINC_challenge_tier1_NestDemolition_description,Quests,Quest Info,,x,"Just a recap: The mission is simple and straightforward: clear and destroy. We'll give you an [DECEA3]explosive[-] to use on [DECEA3]strategic spots[-] that are attracting the zombies at [DECEA3]{poi.name}[-], things like trash bags with rotten meat, piles of bodies, and so on. Don't forget to kill all the zombies in the area. Make sure to only use the Timed Charge only while standing [DECEA3]close to the spot[-]"
ZombieINC_challenge_tier1_NestDemolition_offer,Quests,Quest Info,,x,"The mission is simple and straightforward: clear and destroy. We'll give you an [DECEA3]explosive[-] to use on [DECEA3]strategic spots[-] that are attracting the zombies at [DECEA3]{poi.name}[-], things like trash bags with rotten meat, piles of bodies, and so on. Don't forget to kill all the zombies in the area. Make sure to only use the Timed Charge only while standing [DECEA3]close to the spot[-]"
ZombieINC_challenge_tier1_NestDemolition_completion,Quests,Quest Info,,x,"You did a great job! Here's your reward."
ZombieINC_challenge_tier1_NestDemolition_response,Quests,Quest Info,,x,Nest Demolition ([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier1_NestDemolition_statement,Quests,Quest Info,,x,"Be careful, that a lot of zombies there..."

ZombieINC_challenge_tier2_NestDemolition_name,Quests,Quest Info,,x,Tier 2 Nest Demolition
ZombieINC_challenge_tier2_NestDemolition_subtitle,Quests,Quest Info,,x,Explosive work
ZombieINC_challenge_tier2_NestDemolition_description,Quests,Quest Info,,x,"Just a recap: The mission is simple and straightforward: clear and destroy. We'll give you an [DECEA3]explosive[-] to use on [DECEA3]strategic spots[-] that are attracting the zombies at [DECEA3]{poi.name}[-], things like trash bags with rotten meat, piles of bodies, and so on. Don't forget to kill all the zombies in the area. Make sure to only use the Timed Charge only while standing [DECEA3]close to the spot[-]"
ZombieINC_challenge_tier2_NestDemolition_offer,Quests,Quest Info,,x,"The mission is simple and straightforward: clear and destroy. We'll give you an [DECEA3]explosive[-] to use on [DECEA3]strategic spots[-] that are attracting the zombies at [DECEA3]{poi.name}[-], things like trash bags with rotten meat, piles of bodies, and so on. Don't forget to kill all the zombies in the area. Make sure to only use the Timed Charge only while standing [DECEA3]close to the spot[-]""
ZombieINC_challenge_tier2_NestDemolition_completion,Quests,Quest Info,,x,"Well done, this should decrease the number of zombies around. Here is your reward !"
ZombieINC_challenge_tier2_NestDemolition_response,Quests,Quest Info,,x,Nest Demolition ([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier2_NestDemolition_statement,Quests,Quest Info,,x,"Don't come back here crying if this mission is too much for you..."

ZombieINC_challenge_tier3_NestDemolition_name,Quests,Quest Info,,x,Tier 3 Nest Demolition
ZombieINC_challenge_tier3_NestDemolition_subtitle,Quests,Quest Info,,x,Bring It Down
ZombieINC_challenge_tier3_NestDemolition_description,Quests,Quest Info,,x,"Nest Demolition: Here's the plan. You’ll need to take the minibike to the location with the explosives. When you get there, unload the explosives from the minibike. This way, you’ll be to find and destroy the spots. Don't forget to bring the minibike back. You won't be able to complete the mission without it."
ZombieINC_challenge_tier3_NestDemolition_offer,Quests,Quest Info,,x,"It looks like a zombie nest has appeared at [DECEA3]{poi.name}[-]. We need someone or a team to handle this problem. We're providing a minibike loaded with explosives for this mission. Remember, if you take this job, bring the minibike back in one piece, or don't bother coming back at all."
ZombieINC_challenge_tier3_NestDemolition_completion,Quests,Quest Info,,x,"Well, the nest is destroyed and the minibike is working so far. Here take your reward."
ZombieINC_challenge_tier3_NestDemolition_response,Quests,Quest Info,,x,Nest Demolition ([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier3_NestDemolition_statement,Quests,Quest Info,,x,"Remember to bring back that Minibike once the mission is finished"

ZombieINC_challenge_tier4_NestDemolition_name,Quests,Quest Info,,x,Tier 4 Nest Demolition
ZombieINC_challenge_tier4_NestDemolition_subtitle,Quests,Quest Info,,x,Dirt Work
ZombieINC_challenge_tier4_NestDemolition_description,Quests,Quest Info,,x,"Just Like Last Time: Here's the plan. You’ll need to take the minibike to the location with the explosives. When you get there, unload the explosives from the minibike (crouch and stay still to pick them up). This way, you’ll be the team leader if you’re part of a team. As the team leader, only you can find the spots to plant the bombs. Don't forget to bring the minibike back. You won't be able to complete the mission without it."
ZombieINC_challenge_tier4_NestDemolition_offer,Quests,Quest Info,,x,"It looks like a zombie nest has appeared at [DECEA3]{poi.name}[-]. We need someone or a team to handle this problem. We're providing a minibike loaded with explosives for this mission. Remember, if you take this job, bring the minibike back in one piece, or don't bother coming back at all."
ZombieINC_challenge_tier4_NestDemolition_completion,Quests,Quest Info,,x,"Well, the nest is destroyed and the minibike is working so far. Here take your reward."
ZombieINC_challenge_tier4_NestDemolition_response,Quests,Quest Info,,x,Nest Demolition ([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier4_NestDemolition_statement,Quests,Quest Info,,x,"Remember to bring back that Minibike once the mission is finished"

ZombieINC_challenge_tier5_NestDemolition_name,Quests,Quest Info,,x,Tier 5 Nest Demolition
ZombieINC_challenge_tier5_NestDemolition_subtitle,Quests,Quest Info,,x,Bigger Explosion
ZombieINC_challenge_tier5_NestDemolition_description,Quests,Quest Info,,x,"This time, we’re doing things a little differently. We’ve got something new up our sleeve. Nothing fancy, just highly reactive chemical compounds mixed with explosives. You’ll need to drive a truck loaded with bombs. Once you arrive at [DECEA3]{poi.name}[-], you’ll have to unload the bomb and carry it to the spot. Be careful, don’t make any sudden moves or get hit by zombies, or the bomb might blow up in your face. [DECEA3]I recommend you to find the spot location first before grabbing the bomb.[-]"
ZombieINC_challenge_tier5_NestDemolition_offer,Quests,Quest Info,,x,"This time, we’re doing things a little differently. We’ve got something new up our sleeve. Nothing fancy, just highly reactive chemical compounds mixed with explosives. You’ll need to drive a truck loaded with bombs. Once you arrive at [DECEA3]{poi.name}[-], you’ll have to unload the bomb and carry it to the spot. [DECEA3]Be careful, don’t make any sudden moves or get hit by zombies while carrying the bomb[-], or it might blow up in your face. [DECEA3]I recommend you to find the spot location first before grabbing the bomb.[-]"
ZombieINC_challenge_tier5_NestDemolition_completion,Quests,Quest Info,,x,"How was it breaking in that new beauty? I hope the nest is completely destroyed. Here's your reward."
ZombieINC_challenge_tier5_NestDemolition_response,Quests,Quest Info,,x,Nest Demolition ([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier5_NestDemolition_statement,Quests,Quest Info,,x,"Just don't forget to bring back the truck"

ZombieINC_challenge_tier6_NestDemolition_name,Quests,Quest Info,,x,Tier 6 Nest Demolition
ZombieINC_challenge_tier6_NestDemolition_subtitle,Quests,Quest Info,,x,Deep Into The Nest
ZombieINC_challenge_tier6_NestDemolition_description,Quests,Quest Info,,x,"You’ve done this before, but this time we’re loading the truck with two massive bombs instead of one. Drive the truck to the [DECEA3]{poi.name}[-] and unload the bombs. Clear the entire area, find the spots, and destroy everything. [DECEA3]Be careful with sudden movements or getting hits by zombies while with the bomb on your back[-], or the bomb might blow up right behind you.[DECEA3] Just like last time, I recommend scouting the area first before grabbing the bombs.[-]"
ZombieINC_challenge_tier6_NestDemolition_offer,Quests,Quest Info,,x,"You’ve done this before, but this time we’re loading the truck with two massive bombs instead of one. Drive the truck to the [DECEA3]{poi.name}[-] and unload the bombs. Clear the entire area, find the spots, and destroy everything. [DECEA3]Be careful with sudden movements or getting hits by zombies while with the bomb on your back[-], or the bomb might blow up right behind you.[DECEA3] Just like last time, I recommend scouting the area first before grabbing the bombs.[-]"
ZombieINC_challenge_tier6_NestDemolition_completion,Quests,Quest Info,,x,"I thought I wouldn't see you alive again, but it's good to see you well! Here's your reward."
ZombieINC_challenge_tier6_NestDemolition_response,Quests,Quest Info,,x,Nest Demolition ([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier6_NestDemolition_statement,Quests,Quest Info,,x,"If you do not bring back that truck, you will not receive the reward..."

ZombieINC_WorkAround_NestDemolition_Reward_name,Quest,Quest Info,,X,"Nest Demolition Quest Completed"
ZombieINC_WorkAround_NestDemolition_Reward_subtitle,Quest,Quest Info,,X,"Nest Demolition Quest Completed"
ZombieINC_WorkAround_NestDemolition_Reward_desc,Quest,Quest Info,,X,"Nest Demolition Quest Completed" "C:\7D2D\Custom\5th_Day_Reloaded\Mods\3 - Zombie Inc. Apocalyptic Quests Nest Demolition\Config\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\3 - Zombie Inc. Apocalyptic Quests Survival\localization.txt "
Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

difficulty_very easy,Quests,Quests,,x,Very Easy
difficulty_easy,Quests,Quests,,x,Easy

difficulty_medium,Quests,Quests,,x,Medium

difficulty_Hard,Quests,Quests,,x,Hard
difficulty_hard,Quests,Quests,,x,Hard

difficulty_very Hard,Quests,Quests,,x,Very Hard
difficulty_very hard,Quests,Quests,,x,Very Hard

difficulty_insane,Quests,Quests,,x,Insane
difficulty_Insane,Quests,Quests,,x,Insane

difficulty_Ridiculous,Quests,Quests,,x,Ridiculous
difficulty_ridiculous,Quests,Quests,,x,Ridiculous


ZombieINC_challenge_tier1_Survival_name,Quests,Quest Info,,x,Tier 1 Survival
ZombieINC_challenge_tier1_Survival_subtitle,Quests,Quest Info,,x,Just Run
ZombieINC_challenge_tier1_Survival_description,Quests,Quest Info,,x,"I just have to do one thing: survive! Now, why am I doing this? Apparently, a group of scouts is searching for something in another part of the city. Actually, my role is to be a bait, making the way easier for them."
ZombieINC_challenge_tier1_Survival_offer,Quests,Quest Info,,x,"The mission consists of only one thing: Survive!\n\nYou have been assigned to [DECEA3]{poi.name}[-]. You don't need to kill the zombies if you don't want to; you just need to attract their attention as much as possible while our scouts are on a secret mission."
ZombieINC_challenge_tier1_Survival_completion,Quests,Quest Info,,x,"Here's your reward. It seems like the scouts didn't accomplish much this time..."
ZombieINC_challenge_tier1_Survival_response,Quests,Quest Info,,x,Survival ([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier1_Survival_statement,Quests,Quest Info,,x,"Do you want more details about the secret mission!? You're a complete stranger!"




ZombieINC_challenge_tier2_Survival_name,Quests,Quest Info,,x,Tier 2 Survival
ZombieINC_challenge_tier2_Survival_subtitle,Quests,Quest Info,,x,Keep Running
ZombieINC_challenge_tier2_Survival_description,Quests,Quest Info,,x,"Again, the same mission as before, SURVIVE. But this time, I managed to overhear some conversations, and it seems to be related to the appearance of strange zombies throughout the city."
